"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","THE HINDU","WBENG/2009/49951","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","West Bengal","Kolkata","View        registration details for THE HINDU (WBENG/2009/49951)"
"2","THE HINDU","MAHENG/2015/67733","04-07-2016","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Maharashtra","Mumbai","View        registration details for THE HINDU (MAHENG/2015/67733)"
"3","THE HINDU","MAHENG/2015/69444","29-11-2016","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Maharashtra","Mumbai","View        registration details for THE HINDU (MAHENG/2015/69444)"
"4","THE HINDU","APENG/2017/75012","06-03-2018","English","Daily","N. RAVI","THG PUBLISHING PRIVATE LIMITED","Andhra Pradesh","Chennai","View        registration details for THE HINDU (APENG/2017/75012)"
"5","THE HINDU","APENG/2017/75013","06-03-2018","English","Weekly","N. RAVI","THG PUBLISHING PRIVATE LIMITED","Andhra Pradesh","Chennai","View        registration details for THE HINDU (APENG/2017/75013)"
"6","THE HINDU","17762","27-12-2016","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Coimbatore","View        registration details for THE HINDU (17762)"
"7","THE HINDU","KERENG/2012/50788","09-07-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Kozhikode","View        registration details for THE HINDU (KERENG/2012/50788)"
"8","THE HINDU","APENG/1990/49947","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Andhra Pradesh","Visakhapatnam","View        registration details for THE HINDU (APENG/1990/49947)"
"9","THE HINDU","KARENG/2010/49964","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Dharwad","View        registration details for THE HINDU (KARENG/2010/49964)"
"10","THE HINDU","TELENG/1976/49963","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Telangana","Hyderabad","View        registration details for THE HINDU (TELENG/1976/49963)"
"11","THE HINDU","WBENG/2009/49941","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","West Bengal","Kolkata","View        registration details for THE HINDU (WBENG/2009/49941)"
"12","The Hindu","BHENG/25/A3533","28-10-2025","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Bihar","Patna","View        registration details for The Hindu (BHENG/25/A3533)"
"13","THE HINDU","KARENG/2010/49952","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Dharwad","View        registration details for THE HINDU (KARENG/2010/49952)"
"14","THE HINDU","KERENG/1995/49965","03-06-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Thiruvananthapuram","View        registration details for THE HINDU (KERENG/1995/49965)"
"15","THE HINDU","KERENG/1995/49955","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Thiruvananthapuram","View        registration details for THE HINDU (KERENG/1995/49955)"
"16","THE HINDU","APENG/1990/49949","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Andhra Pradesh","Visakhapatnam","View        registration details for THE HINDU (APENG/1990/49949)"
"17","THE HINDU","KERENG/2000/49953","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Ernakulam","View        registration details for THE HINDU (KERENG/2000/49953)"
"18","THE HINDU","KARENG/2002/49946","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Dakshina Kannada","View        registration details for THE HINDU (KARENG/2002/49946)"
"19","THE HINDU","KARENG/2002/50180","04-06-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Dakshina Kannada","View        registration details for THE HINDU (KARENG/2002/50180)"
"20","THE HINDU","APENG/2001/49937","27-05-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Andhra Pradesh","Krishna","View        registration details for THE HINDU (APENG/2001/49937)"
"21","THE HINDU","KERENG/2012/50789","09-07-2013","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Kerala","Kozhikode","View        registration details for THE HINDU (KERENG/2012/50789)"
"22","THE HINDU","ODIENG/2020/88182","26-07-2024","ENGLISH","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Odisha","","View        registration details for THE HINDU (ODIENG/2020/88182)"
"23","THE HINDU","TELENG/1976/49959","27-05-2013","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Telangana","Hyderabad","View        registration details for THE HINDU (TELENG/1976/49959)"
"24","THE HINDU","1001","17-10-1957","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Tamil Nadu","Chennai","View        registration details for THE HINDU (1001)"
"25","THE HINDU","UPENG/2011/49943","27-05-2013","English","Daily","N. RAM","KASTURI & SONS LTD","Uttar Pradesh","Chennai","View        registration details for THE HINDU (UPENG/2011/49943)"
"26","THE HINDU","PUNENG/2011/49944","10-01-2017","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Punjab","Sahibzada Ajit Singh Nagar","View        registration details for THE HINDU (PUNENG/2011/49944)"
"27","THE HINDU","KARENG/1970/49945","10-01-2017","English","Daily","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Karnataka","Bengaluru","View        registration details for THE HINDU (KARENG/1970/49945)"
"28","THE HINDU","UPENG/2013/49948","01-12-2017","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Uttar Pradesh","Lucknow","View        registration details for THE HINDU (UPENG/2013/49948)"
"29","THE HINDU","UPENG/2011/49950","27-05-2013","English","Weekly","N. RAM","KASTURI & SONS LTD","Uttar Pradesh","Chennai","View        registration details for THE HINDU (UPENG/2011/49950)"
"30","THE HINDU","PUNENG/2011/49954","26-10-2016","English","Weekly","NIRMALA LAKSHMAN","THG PUBLISHING PRIVATE LIMITED","Punjab","Sahibzada Ajit Singh Nagar","View        registration details for THE HINDU (PUNENG/2011/49954)"
